passport,destination,type,days,confidence
AD,AE,visa-free,30,high
AD,AF,e-visa,30,disputed
AD,AG,visa-free,180,high
AD,AL,visa-free,90,high
AD,AM,visa-free,180,high
AD,AO,visa-required,,high
AD,AR,visa-free,90,high
AD,AT,visa-free,90,high
AD,AU,eta,,medium
AD,AZ,e-visa,30,high
AD,BA,visa-free,90,high
AD,BB,visa-free,90,high
AD,BD,visa-on-arrival,30,high
AD,BE,visa-free,90,high
AD,BF,e-visa,,high
AD,BG,visa-free,90,high
AD,BH,visa-on-arrival,14,high
AD,BI,visa-on-arrival,,high
AD,BJ,e-visa,30,high
AD,BN,visa-required,,high
AD,BO,visa-free,90,high
AD,BR,visa-free,90,high
AD,BS,visa-free,240,high
AD,BT,e-visa,90,high
AD,BW,e-visa,90,high
AD,BY,visa-free,30,high
AD,BZ,visa-free,,high
AD,CA,eta,180,high
AD,CD,e-visa,,high
AD,CF,visa-required,,high
AD,CG,visa-required,,high
AD,CH,visa-free,90,high
AD,CI,e-visa,90,disputed
AD,CL,visa-free,90,high
AD,CM,e-visa,,high
AD,CN,visa-free,30,high
AD,CO,visa-free,90,high
AD,CR,visa-free,90,high
AD,CU,e-visa,30,high
AD,CV,visa-free,30,high
AD,CY,visa-free,90,high
AD,CZ,visa-free,90,high
AD,DE,visa-free,90,high
AD,DJ,e-visa,31,disputed
AD,DK,visa-free,90,high
AD,DM,visa-free,21,high
AD,DO,visa-free,90,high
AD,DZ,visa-required,,high
AD,EC,visa-free,90,high
AD,EE,visa-free,90,high
AD,EG,visa-on-arrival,30,high
AD,ER,visa-required,,high
AD,ES,visa-free,90,high
AD,ET,e-visa,90,high
AD,FI,visa-free,90,high
AD,FJ,visa-required,,high
AD,FM,visa-free,30,high
AD,FR,visa-free,90,high
AD,GA,e-visa,,high
AD,GB,eta,180,high
AD,GD,visa-required,,high
AD,GE,visa-free,365,high
AD,GH,visa-required,,high
AD,GM,visa-free,90,high
AD,GN,e-visa,90,high
AD,GQ,e-visa,,high
AD,GR,visa-free,90,high
AD,GT,visa-free,90,high
AD,GW,visa-on-arrival,90,high
AD,GY,visa-required,,disputed
AD,HK,visa-free,90,high
AD,HN,visa-free,90,high
AD,HR,visa-free,90,high
AD,HT,visa-free,90,high
AD,HU,visa-free,90,high
AD,ID,visa-on-arrival,30,high
AD,IE,visa-free,90,high
AD,IL,eta,90,high
AD,IN,e-visa,,high
AD,IQ,e-visa,,high
AD,IR,visa-on-arrival,15,high
AD,IS,visa-free,90,high
AD,IT,visa-free,90,high
AD,JM,visa-free,90,disputed
AD,JO,visa-on-arrival,,high
AD,JP,visa-free,90,high
AD,KE,eta,90,high
AD,KG,visa-free,60,high
AD,KH,visa-on-arrival,30,high
AD,KI,visa-required,,high
AD,KM,visa-on-arrival,,high
AD,KN,e-visa,,high
AD,KP,visa-required,,high
AD,KR,eta,30,high
AD,KW,visa-on-arrival,90,high
AD,KZ,visa-free,90,high
